generation,best,mean,worst,cache_hits,cache_misses
0,184142.48830917146,127979.95601564222,31279.65889381129,0,0
1,184072.8326542594,144067.3169066091,0.0,0,0
2,200014.3701304814,152473.2289621734,34154.73062891405,0,0
3,209231.3897176428,157730.38654861267,43472.416589855195,0,0
4,228847.98922404254,168136.42302313235,37354.67973443683,0,0
5,229640.60081385754,181281.00278757725,44286.13059033763,0,0
6,221966.18105300257,181580.1972359593,0.0,0,0
7,228465.2696527691,194116.0623271753,38741.84451177906,0,0
8,260319.46606006438,208350.6582967274,162931.94831568294,0,0
9,246307.6223624571,211095.51255790083,31045.628880503104,0,0
10,260098.7232609723,215120.38763759812,31545.325874395654,0,0
11,263162.06379158807,225343.0246151694,31330.856167506943,0,0
12,292750.412649802,237580.4691378971,41092.4927551142,0,0
13,283151.976195916,237746.14804789296,0.0,0,0
14,286056.9486139469,254088.2903814194,30754.133974014523,0,0
15,302280.0372617614,258446.0169999824,0.0,0,0
16,304410.9844843966,268476.70689439896,0.0,0,0
17,324115.6791290042,280002.6957593804,29670.32014965753,0,0
18,322969.22838068724,292933.0973965342,261055.73989294053,0,0
19,334447.70339154755,287974.0224173104,0.0,0,0
20,347435.7082639085,303529.63847588684,47205.020458042716,0,0
21,339903.42003082234,314915.9019768967,289659.8886977144,0,0
22,343119.0346987398,313129.6641872631,0.0,0,0
23,344680.3869362806,323795.5357892938,286726.14298539393,0,0
24,348960.0588794351,317800.4866481741,0.0,0,0
25,355559.32049877313,324688.54850854975,39155.0272583812,0,0
26,356287.0027200361,337896.3426699528,305410.9870930591,0,0
27,359011.4521352705,340163.7901820532,285670.4191418842,0,0
28,359011.4521352705,319501.1638100466,32795.50538578856,0,0
29,371383.74652490113,346944.07856384193,292100.7694454869,0,0
30,371383.74652490113,343656.2838840065,34278.62568428271,0,0
31,372293.3614342444,343320.91060754383,0.0,0,0
32,383410.8748939026,357301.97255663446,304582.8816888674,0,0
33,379448.44192066346,350372.7982681441,0.0,0,0
34,380368.4415408095,354942.26763981703,51532.11246179245,0,0
35,383354.4553831741,359079.8993958169,26507.58749210092,0,0
36,385995.25183803076,361287.11940550414,38093.3411277519,0,0
37,394070.94014357583,351889.4548092246,0.0,0,0
38,393474.88210409443,377653.94590702595,320771.1405920124,0,0
39,397747.22038626816,375273.73424138763,51552.844495946505,0,0
40,400588.01356745744,383250.0695054854,349628.84351122665,0,0
41,403709.74182840716,381375.4076355227,27369.51737270539,0,0
42,410511.3327533888,372169.5825398527,0.0,0,0
43,410511.3327533888,389553.1401825321,299880.11787306,0,0
44,411115.5150068345,393147.1626197876,342796.0305360204,0,0
45,412033.1061481567,384593.24606159754,43458.210000139916,0,0
46,418439.9148660698,396977.32830428716,324182.326649138,0,0
47,419417.56203820265,395187.97910080664,44773.750210097554,0,0
48,419656.1958823149,398812.28955754166,37569.15352342715,0,0
49,423268.9944772601,407724.0153175489,370568.70352814364,0,0
50,424310.1285340549,383451.0125226122,36864.28340135503,0,0
51,431539.2693650262,406829.1153690968,37255.94682031768,0,0
52,435167.7472660233,418225.0064872116,374151.67392108846,0,0
53,437508.69416260155,416053.3425323197,40109.644153617104,0,0
54,439728.0271664782,400556.2775276311,34700.64369092569,0,0
55,440322.00683748716,425142.8336948156,331177.57342285133,0,0
56,443963.81885870174,423513.90290773363,27754.79000643486,0,0
57,451498.2367608116,400789.68790190725,23796.689982351938,0,0
58,459380.3039233345,426381.2944110813,47976.973873766656,0,0
59,455811.65666252724,425741.1586842678,28705.744406296762,0,0
60,458082.58128475625,434966.08583706093,37637.31633254034,0,0
61,458836.17281493504,438374.36568968307,41826.20502924927,0,0
62,463927.6900687449,441610.15854753,41397.871482600116,0,0
63,463927.6900687449,428872.23578118667,0.0,0,0
64,466984.26702978864,437020.7185492839,40979.94598252225,0,0
65,471464.76704252843,447531.1551986862,38558.70032534166,0,0
66,471194.4232038847,458858.07413407,396246.7696032082,0,0
67,472632.15813226596,448453.8739838126,44766.43112139993,0,0
68,478672.41434047266,441063.9958895473,29928.34571190862,0,0
69,480114.43104495615,425339.4443077548,29555.45851008616,0,0
70,480114.43104495615,457668.69164543913,38583.35886655106,0,0
71,483495.0367573059,467966.4795340007,376390.2521833068,0,0
72,483606.3655216359,460708.59021036356,0.0,0,0
73,489489.8640464871,457703.4652559733,0.0,0,0
74,488425.57763044065,473611.37222729845,403662.1690243875,0,0
75,487869.8507440426,455774.05692627456,31512.01711762735,0,0
76,495099.95280703856,462519.2751608641,41598.00983467342,0,0
77,497543.9538835606,450995.82103702443,29941.937333115777,0,0
78,498014.1816113999,475921.44515944895,46984.52419618005,0,0
79,505663.81539892126,487555.8594314681,405115.1351560833,0,0
80,500417.94024255447,464856.6399391385,33560.30429270116,0,0
81,505792.7127082723,490757.0436069023,429462.9084148598,0,0
82,508708.58067721536,493504.394301369,451629.8560398302,0,0
