generation,best,mean,worst,cache_hits,cache_misses
0,92891.86736425583,53872.72760388542,12117.551942070217,0,0
1,100200.96290261536,63883.120932218575,14581.27058875129,0,0
2,103206.65087683262,74862.44220914977,15157.941806899938,0,0
3,111221.16700463937,85871.42896004979,59593.54239627044,0,0
4,120744.5091222948,93957.38803835637,70035.31792855579,0,0
5,140490.3321206405,102538.1988952382,28604.31415054994,0,0
6,151977.28909906987,106347.79535810059,14816.454340716713,0,0
7,155490.27486363344,119182.00610675478,16377.437887883274,0,0
8,160301.072507295,121642.11155992594,16979.45102367704,0,0
9,163960.76820185225,126814.82775003344,14006.289633439203,0,0
10,169918.80020472527,134834.29197207987,21093.365253521042,0,0
11,180875.72472536296,149361.35072817517,21741.577098564674,0,0
12,184925.21854804675,158354.62683030928,29938.20360150998,0,0
13,184642.62603369853,163951.5179544777,23040.75226003637,0,0
14,193450.8954549976,169982.66732402187,26301.03127028392,0,0
15,193645.12790588874,174893.21989392323,31492.16614700367,0,0
16,195501.69664578486,179112.35995156874,21134.460023316326,0,0
17,199761.0879610374,183258.74191460692,35898.52397778595,0,0
18,201741.00856763273,190080.08367763556,177090.2887997985,0,0
19,206718.89622926465,187034.2890754089,17800.54084278114,0,0
20,207099.44116862272,190892.8463412177,16010.744047355027,0,0
21,211006.51919417232,195506.80253915832,27119.496822119327,0,0
22,213289.51218213758,203008.71081249404,183848.2112467553,0,0
23,217715.42469259675,206939.13589017213,195310.82823943574,0,0
24,219252.74994105403,204239.5983545612,16768.50679026689,0,0
25,224384.65363612634,212676.18557264758,184532.0900702891,0,0
26,225905.69036284377,209141.97257869414,18258.86778474972,0,0
27,227353.5777670664,217738.34613749728,190851.69342546546,0,0
28,232277.90091457547,207261.9092891729,12493.780077834546,0,0
29,235307.35136647004,224044.60298333297,205556.67236889733,0,0
30,236306.12986377836,227661.77756908303,217276.4099244892,0,0
31,237986.01917172922,216420.84673337085,24578.82587858377,0,0
32,238563.6396943234,232719.97188473053,223563.07614509866,0,0
33,241554.2924145621,228627.12528258437,26080.621804842693,0,0
34,246803.64889540552,233801.80106391993,17036.653583189942,0,0
35,247810.07521162802,230858.91156919155,16549.115949661147,0,0
36,252851.13266418994,233070.03976066064,20187.2829031365,0,0
37,254358.42551544815,227920.97964640256,14777.756142468394,0,0
38,254140.34652807208,238260.50425413897,14284.883995030368,0,0
39,255717.5430699701,234657.11865076533,21022.962929181173,0,0
40,259823.86917017156,246138.48063615515,20087.112357983005,0,0
41,260856.62593778473,251418.28321187757,215327.0640227194,0,0
42,263102.724815463,241742.47822811236,11742.539581806132,0,0
43,261996.84723054818,245990.16200744893,16311.26261625211,0,0
44,264082.3893008887,247753.41118159937,14127.402343764199,0,0
45,264027.3492019764,250997.93324320324,11461.359140191964,0,0
46,266729.20126209926,246361.83959585233,11322.175690622886,0,0
47,269814.4184519116,259514.86015506854,225013.16729150165,0,0
48,271463.78883658233,254067.31360906796,17062.709776961245,0,0
49,274466.59976044856,261644.24178503855,35620.717488323186,0,0
50,275366.3881651537,262656.7176289638,26925.631654442903,0,0
51,277362.55718696694,264169.7739106275,20191.395251062146,0,0
