generation,best,mean,worst
0,570626.1464447058,322865.0038303459,61566.999673936036
1,571841.4039413997,366462.5215300986,0.0
2,536918.0115819472,392799.34567668004,0.0
3,576087.6009151278,442323.41786766826,67655.44206133876
4,612066.7440368126,492722.8230425816,80154.04603231186
5,676273.623887835,523831.9663071171,0.0
6,724251.5510063062,557978.266328715,0.0
7,764191.3233528449,611525.820738533,92418.96449469944
8,741545.763446888,651625.1515483737,531302.162093281
9,765206.8299676621,652379.9151328482,52600.47993936984
10,825966.7320222984,679099.5919724106,47685.250270593606
11,833036.9434638554,708227.2401573345,62646.980288906365
12,877977.8506241356,748273.3330293336,89890.70758294329
13,925739.365580743,779682.0017609874,0.0
14,984256.1229110543,844518.8384719501,65390.72212877154
15,992121.6261569855,870651.2383292876,0.0
16,1047355.7346726449,896712.34907587,0.0
17,1074351.5435795672,929873.2070099608,55525.79868906691
18,1103670.0050668954,992855.1170051484,751249.5592788701
19,1149967.3678266422,975134.5663358221,0.0
20,1179188.010484399,1052027.382893163,60017.781249729254
21,1216013.0284252737,1113210.3576475151,1031524.3488087518
22,1227807.5609945962,1090672.2765736778,0.0
23,1241492.2983549584,1152843.5894147013,935031.5538512127
24,1274624.280629369,1155143.5474847832,0.0
25,1295129.7838414444,1183733.6961430172,85037.37461327582
26,1295129.7838414444,1246476.061678943,1051334.1185167935
27,1327776.0028905252,1257397.7874045044,1070942.4767071144
28,1368333.8704176103,1173879.8766065114,55099.637422310065
29,1390808.8540584326,1282390.992631623,981539.4741968644
30,1405254.448883163,1291632.0915297798,66773.17328033508
31,1439490.164759486,1293837.6623179405,0.0
32,1463359.2364243772,1365190.366961296,981954.838452808
33,1463359.2364243772,1325553.5817509892,0.0
34,1463359.2364243772,1341380.1668171042,0.0
35,1483202.1651906641,1377403.8935714886,53437.39655566466
36,1494625.496352853,1396737.3316736827,71386.64499461732
37,1502767.5601056938,1365936.1364237296,0.0
38,1528878.3523256257,1460625.1209289634,1054183.9843552408
39,1537292.6199972592,1464669.807737305,103530.67651415787
40,1576664.3978974412,1467060.8977908012,0.0
41,1574828.918031235,1488716.871881969,63491.27277146081
42,1616094.997899564,1430331.8985358062,0.0
43,1685773.336027532,1552394.7099757642,1222375.897075845
44,1660490.1337949985,1576147.0867166447,1401777.1827908077
45,1675400.1596461106,1555102.862352842,112097.30655311418
46,1726372.2161781145,1617583.8193176824,1352806.6092763585
47,1741693.9326279957,1625909.40952276,70504.17404310557
48,1790894.8739613048,1655831.4566961639,60097.06860310327
49,1802787.478422099,1697626.4220112814,1449341.7349745436
50,1826043.5902389502,1580731.8758174623,0.0
51,1821018.760212404,1697291.4567276633,66336.08311147455
52,1835635.548205406,1758492.7420578278,1608863.3579964945
53,1869534.0141798998,1763597.8473072292,99375.1276685429
54,1880484.3738480278,1702336.3560836732,66963.18001417424
55,1932286.8679687995,1836494.6617105904,1754502.4978502158
56,1947342.3363925728,1790067.0552177422,0.0
57,1980561.0347195412,1729968.8767049562,48192.75949392816
58,2002597.9486841867,1837291.6323387385,0.0
59,2013634.5873781003,1869108.552256454,51227.51495339513
60,2035813.842322888,1917481.367595407,74818.6891706961
61,2048874.207187704,1895955.7800329481,0.0
62,2049338.7255962882,1958188.6338460569,78505.75207670114
63,2082293.5054930665,1912187.7875164598,0.0
64,2177810.6194458,1946038.6545005287,76452.47126737396
65,2138220.38584795,2016930.5396975356,68384.45531379178
66,2151157.806197223,2069511.402860762,1846443.2175009602
67,2186181.939378167,2015055.7699176078,0.0
68,2209899.26247871,2008632.962570404,58749.72261399099
69,2227713.841580752,1931460.3678948528,0.0
70,2244065.4444336277,2127190.9155207057,85845.50175778627
71,2270386.4400932156,2151432.2239137893,0.0
72,2315410.082095242,2145608.362145154,0.0
73,2344112.307898965,2180621.8825162123,0.0
74,2358931.8949142867,2227652.9767004293,0.0
75,2373194.202541477,2181038.9571844833,58520.93933146037
76,2406701.8031972568,2250592.1610007803,81926.49242039866
77,2418115.877143009,2190266.314699293,64999.87599255591
78,2489950.423051923,2341990.5972197684,97333.52186428537
79,2502951.1746187382,2387919.8577811136,2080169.417736238
80,2525854.078961235,2215990.380732437,0.0
81,2525854.078961235,2397943.979428514,0.0
82,2539559.099734294,2446855.370135111,2151501.024814788
83,2541519.1629473874,2360279.789264667,86875.92369602773
84,2573126.006931033,2316629.6453501657,0.0
85,2578169.438648776,2417431.8016767493,0.0
86,2632093.4032525755,2435731.169674654,0.0
87,2624579.182167618,2509412.572061127,70652.15944072303
88,2651656.739172589,2516815.814209216,113432.57245739277
