generation,best,mean,worst,cache_hits,cache_misses
0,416577.28813072527,211991.46791447388,38620.84239420569,0,0
1,416213.8378671838,250934.7557671641,0.0,0,0
2,434233.73911831126,292842.66823769227,47419.1879918514,0,0
3,507720.3815317981,343658.77558718,52168.845015102386,0,0
4,574703.236988755,391867.3341161337,50539.26364138677,0,0
5,633155.6199556958,430824.20575785637,67449.59174428659,0,0
6,616212.123528797,459117.0666709099,0.0,0,0
7,673361.6940890842,486484.5493211505,78600.55847261427,0,0
8,706004.6325694417,539703.7985151986,339748.2692283035,0,0
9,847744.2740934435,555503.0538481275,38503.0948789364,0,0
10,827474.4743121973,612395.8997729468,25493.481773564978,0,0
11,918865.1432866746,635759.1780733097,35609.075252078044,0,0
12,992663.7712228866,708918.0751593529,51943.783526414045,0,0
13,1097958.5187829675,762532.9275596613,0.0,0,0
14,1123799.8789454356,830962.0464186872,49215.986737782216,0,0
15,1166075.6241247742,921908.5710902411,0.0,0,0
16,1235967.5598297901,987701.7262662738,0.0,0,0
17,1429337.7227665368,1071295.1839913148,29243.74947284619,0,0
18,1429337.7227665368,1154960.3022635186,653797.9324748126,0,0
19,1451022.4373663464,1164884.5592541785,0.0,0,0
20,1550091.2162233077,1266713.2294524743,30785.291823162443,0,0
21,1586687.2109275653,1351740.939712306,1004380.4357996606,0,0
22,1607238.807465327,1362957.3104863327,0.0,0,0
23,1653177.4552400112,1469014.5842944996,1012909.236055476,0,0
24,1644968.8860627264,1453994.9396521233,0.0,0,0
25,1727525.9543725348,1489715.4735456363,56853.12811612203,0,0
26,1801529.7649430358,1608371.9713982379,1097305.966994861,0,0
27,1869477.805273694,1648155.3815644896,1046253.5089970974,0,0
28,1867449.5761285056,1525424.7275216293,37452.42981800591,0,0
29,1895781.2658519577,1724211.1061366114,1267446.6655912,0,0
30,1924153.7363094476,1730252.149885165,40185.885377038016,0,0
31,2004159.9940190432,1716632.8649522886,0.0,0,0
32,2018058.247409255,1791438.4309975062,808586.5309811445,0,0
33,2042481.0731735404,1802044.1113558568,0.0,0,0
34,2078223.5449284886,1830715.0844452386,54361.57491097315,0,0
35,2136495.807786602,1881195.267116455,37861.863293586364,0,0
36,2216968.381538062,1879640.0063342925,55700.585736724286,0,0
37,2226246.837154485,1870493.6527477487,0.0,0,0
38,2290409.2703943416,2042519.2663699887,994800.3414185111,0,0
39,2342822.920627682,2062114.234492224,91127.1764748644,0,0
40,2363806.6622464387,2172475.505954322,1221103.9760731033,0,0
41,2384114.0205644425,2156560.462141486,41909.33724158893,0,0
42,2403620.142283878,2096258.3342419465,0.0,0,0
43,2487967.442961439,2261075.3783296105,1621663.343526341,0,0
44,2534042.9347625077,2313845.0899643167,1328773.6430559156,0,0
45,2556062.8013179866,2306335.2426889753,77887.8825428642,0,0
46,2693816.041350583,2401602.143433607,1436589.7830967184,0,0
47,2666494.416462361,2398987.0239070235,36355.34864652876,0,0
48,2704957.526545821,2423129.876912226,37319.85795579921,0,0
49,2849973.727577856,2525599.9176117918,1136640.4390263401,0,0
50,2861451.9737329422,2436803.642290822,42664.88196453943,0,0
51,2925264.214353827,2600097.95984579,43598.78887555915,0,0
52,2983665.587580941,2718220.8979506847,1672196.4774435665,0,0
53,3029204.0910359337,2640713.3347041337,59145.405581067695,0,0
54,3028138.2327778726,2581374.675399236,51088.23270200794,0,0
55,3077069.4944023783,2754113.2325102896,1171214.9540795677,0,0
56,3210285.9847502424,2720763.071146943,26999.096896173403,0,0
57,3204265.6631994788,2628181.4276077733,31637.013406800204,0,0
58,3264438.3286717664,2862974.101117509,44751.178853229496,0,0
59,3367072.490689486,2848029.8874501367,33999.553732103894,0,0
60,3344158.445071682,3020014.9483406832,49717.44870967356,0,0
61,3336801.926667446,3026942.5428579035,69542.43043179068,0,0
62,3338876.097398184,3061627.656989942,61182.38986146515,0,0
63,3408544.6227195086,3003731.256339315,0.0,0,0
64,3480657.1854042998,3079272.3648954206,54615.08667336048,0,0
65,3514937.307935737,3175733.0110598137,38302.85433639505,0,0
66,3538365.429260876,3286372.315446238,2023989.3839351872,0,0
67,3543161.467189542,3163248.186118462,97174.10001137796,0,0
68,3602471.434100093,3124864.7494927803,47330.71155172143,0,0
69,3611538.7274197033,3016416.6245348128,30084.486476501348,0,0
70,3659303.621571978,3206796.8755208547,54575.29641252823,0,0
71,3662994.1923384257,3278559.933554228,1825472.5243704664,0,0
72,3771947.7545252223,3376805.627995997,0.0,0,0
73,3880583.5748178894,3349027.712395583,0.0,0,0
74,3786056.40427425,3425362.328001353,1667922.6825251253,0,0
75,3802565.8559453445,3265341.1964228023,38416.1596016722,0,0
76,3802565.8559453445,3341889.47908319,75364.8956560102,0,0
77,4065757.7424273314,3232552.780815932,50459.163584993104,0,0
78,3998969.696123581,3539997.7718600663,75334.04707222892,0,0
79,3989548.2293746322,3647173.2774484167,1667344.17299104,0,0
80,4002806.992304726,3364408.1695783865,46328.92021902023,0,0
81,4055164.365683362,3653645.9910672014,2472137.5848771306,0,0
82,4103589.8305831733,3702756.617877536,1841699.0567805998,0,0
83,4235478.153021875,3634261.8500078465,66041.2382685637,0,0
84,4252030.121307073,3575781.981093538,0.0,0,0
85,4452260.052808107,3949910.553983017,2037111.9695253028,0,0
86,4435343.622782751,3952444.6724202195,58538.327137458946,0,0
87,4373324.260465972,3891578.8542362596,45614.29563123447,0,0
